R,G,B,parsed_col_sec,R,G,B,C=G+B,M=R+B,Y=R+G,K=R+G+B
229,183,59,R,1,0,0,0,0,0,0
102,221,170,G,0,1,0,0,0,0,0
0,0,205,B,0,0,1,0,0,0,0
226,6,44,R,1,0,0,0,0,0,0
175,64,53,R,1,0,0,0,0,0,0
243,229,171,R,1,0,0,0,0,0,0
3,80,150,B,0,0,1,0,0,0,0
28,53,45,G,0,1,0,0,0,0,0
221,160,221,M,0,0,0,0,1,0,0
186,85,211,B,0,0,1,0,0,0,0
0,103,165,B,0,0,1,0,0,0,0
147,112,219,B,0,0,1,0,0,0,0
187,51,133,R,1,0,0,0,0,0,0
170,64,105,R,1,0,0,0,0,0,0
60,179,113,G,0,1,0,0,0,0,0
123,104,238,B,0,0,1,0,0,0,0
201,220,135,G,0,1,0,0,0,0,0
0,250,154,G,0,1,0,0,0,0,0
103,76,71,R,1,0,0,0,0,0,0
72,209,204,G,0,1,0,0,0,0,0
121,68,59,R,1,0,0,0,0,0,0
217,96,59,R,1,0,0,0,0,0,0
199,21,133,R,1,0,0,0,0,0,0
248,184,120,R,1,0,0,0,0,0,0
248,222,126,R,1,0,0,0,0,0,0
253,188,180,R,1,0,0,0,0,0,0
25,25,112,B,0,0,1,0,0,0,0
0,73,83,B,0,0,1,0,0,0,0
255,196,12,R,1,0,0,0,0,0,0
62,180,137,G,0,1,0,0,0,0,0
245,255,250,G,0,1,0,0,0,0,0
152,255,152,G,0,1,0,0,0,0,0
255,228,225,R,1,0,0,0,0,0,0
250,235,215,R,1,0,0,0,0,0,0
150,113,23,R,1,0,0,0,0,0,0
115,169,194,B,0,0,1,0,0,0,0
174,12,0,R,1,0,0,0,0,0,0
173,223,173,G,0,1,0,0,0,0,0
48,186,143,G,0,1,0,0,0,0,0
153,122,141,R,1,0,0,0,0,0,0
24,69,59,G,0,1,0,0,0,0,0
197,75,140,R,1,0,0,0,0,0,0
255,219,88,R,1,0,0,0,0,0,0
33,66,30,G,0,1,0,0,0,0,0
246,173,198,R,1,0,0,0,0,0,0
42,128,0,G,0,1,0,0,0,0,0
250,218,94,R,1,0,0,0,0,0,0
255,222,173,R,1,0,0,0,0,0,0
0,0,128,B,0,0,1,0,0,0,0
255,163,67,R,1,0,0,0,0,0,0
254,65,100,R,1,0,0,0,0,0,0
57,255,20,G,0,1,0,0,0,0,0
215,131,127,R,1,0,0,0,0,0,0
164,221,237,B,0,0,1,0,0,0,0
5,144,51,G,0,1,0,0,0,0,0
0,119,190,B,0,0,1,0,0,0,0
204,119,34,R,1,0,0,0,0,0,0
0,128,0,G,0,1,0,0,0,0,0
207,181,59,R,1,0,0,0,0,0,0
253,245,230,R,1,0,0,0,0,0,0
121,104,120,R,1,0,0,0,0,0,0
103,49,71,R,1,0,0,0,0,0,0
192,128,129,R,1,0,0,0,0,0,0
128,128,0,Y,0,0,0,0,0,1,0
60,52,31,R,1,0,0,0,0,0,0
107,142,35,G,0,1,0,0,0,0,0
154,185,115,G,0,1,0,0,0,0,0
53,56,57,B,0,0,1,0,0,0,0
183,132,167,R,1,0,0,0,0,0,0
255,127,0,R,1,0,0,0,0,0,0
255,159,0,R,1,0,0,0,0,0,0
255,69,0,R,1,0,0,0,0,0,0
251,153,2,R,1,0,0,0,0,0,0
255,165,0,R,1,0,0,0,0,0,0
218,112,214,R,1,0,0,0,0,0,0
101,67,33,R,1,0,0,0,0,0,0
153,0,0,R,1,0,0,0,0,0,0
65,74,76,B,0,0,1,0,0,0,0
255,110,74,R,1,0,0,0,0,0,0
0,33,71,B,0,0,1,0,0,0,0
0,102,0,G,0,1,0,0,0,0,0
39,59,226,B,0,0,1,0,0,0,0
104,40,96,R,1,0,0,0,0,0,0
188,212,230,B,0,0,1,0,0,0,0
175,238,238,C,0,0,0,1,0,0,0
152,118,84,R,1,0,0,0,0,0,0
175,64,53,R,1,0,0,0,0,0,0
155,196,226,B,0,0,1,0,0,0,0
221,173,175,R,1,0,0,0,0,0,0
218,138,103,R,1,0,0,0,0,0,0
171,205,239,B,0,0,1,0,0,0,0
230,190,138,R,1,0,0,0,0,0,0
238,232,170,R,1,0,0,0,0,0,0
152,251,152,G,0,1,0,0,0,0,0
220,208,255,B,0,0,1,0,0,0,0
249,132,229,R,1,0,0,0,0,0,0
250,218,221,R,1,0,0,0,0,0,0
221,160,221,M,0,0,0,0,1,0,0
219,112,147,R,1,0,0,0,0,0,0
150,222,209,G,0,1,0,0,0,0,0
201,192,187,R,1,0,0,0,0,0,0
236,235,189,R,1,0,0,0,0,0,0
188,152,126,R,1,0,0,0,0,0,0
219,112,147,R,1,0,0,0,0,0,0
120,24,74,R,1,0,0,0,0,0,0
255,239,213,R,1,0,0,0,0,0,0
80,200,120,G,0,1,0,0,0,0,0
174,198,207,B,0,0,1,0,0,0,0
131,105,83,R,1,0,0,0,0,0,0
207,207,196,Y,0,0,0,0,0,1,0
119,221,119,G,0,1,0,0,0,0,0
244,154,194,R,1,0,0,0,0,0,0
255,179,71,R,1,0,0,0,0,0,0
222,165,164,R,1,0,0,0,0,0,0
179,158,181,B,0,0,1,0,0,0,0
255,105,97,R,1,0,0,0,0,0,0
203,153,201,R,1,0,0,0,0,0,0
253,253,150,Y,0,0,0,0,0,1,0
128,0,128,M,0,0,0,0,1,0,0
83,104,120,B,0,0,1,0,0,0,0
255,229,180,R,1,0,0,0,0,0,0
255,203,164,R,1,0,0,0,0,0,0
255,204,153,R,1,0,0,0,0,0,0
255,218,185,R,1,0,0,0,0,0,0
250,223,173,R,1,0,0,0,0,0,0
209,226,49,G,0,1,0,0,0,0,0
234,224,200,R,1,0,0,0,0,0,0
136,216,192,G,0,1,0,0,0,0,0
183,104,162,R,1,0,0,0,0,0,0
230,226,0,R,1,0,0,0,0,0,0
204,204,255,B,0,0,1,0,0,0,0
28,57,187,B,0,0,1,0,0,0,0
0,166,147,G,0,1,0,0,0,0,0
50,18,122,B,0,0,1,0,0,0,0
217,144,88,R,1,0,0,0,0,0,0
247,127,190,R,1,0,0,0,0,0,0
112,28,28,R,1,0,0,0,0,0,0
204,51,51,R,1,0,0,0,0,0,0
254,40,162,R,1,0,0,0,0,0,0
236,88,0,R,1,0,0,0,0,0,0
205,133,63,R,1,0,0,0,0,0,0
223,0,255,B,0,0,1,0,0,0,0
0,15,137,B,0,0,1,0,0,0,0
18,53,36,G,0,1,0,0,0,0,0
253,221,230,R,1,0,0,0,0,0,0
